rq,type,区县,市,sum
20210401,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48710892
20210402,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48533092
20210403,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,46355458
20210404,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,41616041
20210405,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,45681036
20210406,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47867495
20210407,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49217388
20210408,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49862068
20210409,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49124929
20210410,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48851976
20210411,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47634887
20210412,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49399274
20210413,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49264866
20210414,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49949537
20210415,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49364735
20210416,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48927581
20210417,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48185336
20210418,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,46270645
20210419,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47708945
20210420,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48605839
20210421,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48697949
20210422,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49112094
20210423,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49522527
20210424,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49112869
20210425,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47825140
20210426,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48276447
20210427,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49000999
20210428,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,48679079
20210429,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47795604
20210430,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47326837
20210501,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,36905991
20210502,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,37573718
20210503,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,42753930
20210504,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,46332958
20210505,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,46732558
20210506,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,47918821
20210507,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49425014
20210508,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,50219618
20210509,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,49744660
20210510,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,53277659
20210511,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,51889387
20210512,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,51586977
20210513,区级数据,国网浙江杭州市萧山区供电有限公司,国网浙江省电力有限公司杭州供电公司,50724203
