rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,788144
20210402,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,807553
20210403,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,773434
20210404,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,713559
20210405,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,778201
20210406,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,790655
20210407,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,781145
20210408,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,791221
20210409,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,793326
20210410,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,794968
20210411,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,773601
20210412,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,781915
20210413,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,789880
20210414,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,801564
20210415,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,802933
20210416,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,780198
20210417,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,769987
20210418,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,772617
20210419,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,770907
20210420,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,770581
20210421,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,775604
20210422,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,732767
20210423,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,758669
20210424,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,782702
20210425,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,746852
20210426,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,737412
20210427,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,735955
20210428,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,741329
20210429,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,738258
20210430,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,742676
20210501,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,685792
20210502,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,718598
20210503,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,762426
20210504,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,745012
20210505,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,749251
20210506,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,747979
20210507,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,747462
20210508,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,733986
20210509,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,724506
20210510,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,763987
20210511,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,756432
20210512,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,794592
20210513,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,839502
20210514,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,891074
20210515,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,913436
20210516,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,897330
20210517,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,837538
20210518,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,752504
20210519,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,745905
20210520,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,734313
20210521,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,700435
20210522,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,685582
20210523,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,728200
20210524,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,712060
20210525,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,749130
20210526,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,797907
20210527,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,781228
20210528,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,768768
20210529,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,728893
20210530,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,740394
20210531,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,761768
20210601,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,687368
20210602,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,717459
20210603,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,800930
20210604,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,709477
20210605,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,761203
20210606,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,762075
20210607,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,780834
20210608,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,791816
20210609,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,855533
20210610,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,894548
20210611,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,873204
20210612,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,843937
20210613,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,849745
20210614,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,896293
20210615,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,998350
20210616,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1056766
20210617,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1150002
20210618,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1108179
20210619,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1054471
20210620,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,915599
20210621,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,795712
20210622,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,725164
20210623,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,735966
20210624,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,726321
20210625,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,795087
20210626,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,872375
20210627,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,849043
20210628,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,858263
20210629,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,849508
20210630,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,762078
20210701,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,748334
20210702,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,833157
20210703,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,888085
20210704,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,928876
20210705,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1038647
20210706,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1024510
20210707,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1141862
20210708,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1152228
20210709,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1151386
20210710,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1098705
20210711,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1047707
20210712,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1183892
20210713,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1171708
20210714,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1169389
20210715,区级数据,国网浙江省电力有限公司景宁县供电公司,国网浙江省电力有限公司丽水供电公司,1180254
