rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2004360
20210402,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,1968340
20210403,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2100864
20210404,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2059190
20210405,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2089776
20210406,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2090237
20210407,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2029654
20210408,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2159206
20210409,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2126107
20210410,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2082901
20210411,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2300872
20210412,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2389136
20210413,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2388895
20210414,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2488267
20210415,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2630657
20210416,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2322074
20210417,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2269366
20210418,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2119639
20210419,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2150941
20210420,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2258290
20210421,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2294440
20210422,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2336654
20210423,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2274793
20210424,区级数据,国网浙江省电力有限公司岱山县供电公司,国网浙江省电力有限公司舟山供电公司,2223819
