rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10908141
20210402,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10946389
20210403,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10535519
20210404,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,8373812
20210405,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,9681162
20210406,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10751781
20210407,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11085679
20210408,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11602083
20210409,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11065777
20210410,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10931122
20210411,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10870659
20210412,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11325861
20210413,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11425676
20210414,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11554675
20210415,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11761681
20210416,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11100701
20210417,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10960281
20210418,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10336529
20210419,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10932666
20210420,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11339302
20210421,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11154060
20210422,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11399441
20210423,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11358679
20210424,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11264101
20210425,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10922760
20210426,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10857825
20210427,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11467336
20210428,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11532966
20210429,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10837876
20210430,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10330623
20210501,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,6149356
20210502,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,6642325
20210503,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,8902433
20210504,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10587027
20210505,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10446078
20210506,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11057752
20210507,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11311436
20210508,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11218588
20210509,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10515755
20210510,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11369615
20210511,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11540676
20210512,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11632386
20210513,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11633170
20210514,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11847793
20210515,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12176273
20210516,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11514221
20210517,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11184458
20210518,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11340546
20210519,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11178944
20210520,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10907474
20210521,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10816699
20210522,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11070076
20210523,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10593577
20210524,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10992815
20210525,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11014534
20210526,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10874161
20210527,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11291067
20210528,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11450688
20210529,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10914083
20210530,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10269726
20210531,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10467685
20210601,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11141033
20210602,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11431148
20210603,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11961441
20210604,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11029878
20210605,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10764618
20210606,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10302160
20210607,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11004787
20210608,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12007128
20210609,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12490734
20210610,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12314850
20210611,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12363615
20210612,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12166779
20210613,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10663322
20210614,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,8918033
20210615,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12325066
20210616,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13571213
20210617,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13109909
20210618,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13506788
20210619,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12066079
20210620,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10715320
20210621,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11137042
20210622,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11506191
20210623,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11484811
20210624,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11927736
20210625,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12272467
20210626,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12399524
20210627,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11297476
20210628,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12055401
20210629,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12276371
20210630,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11782919
20210701,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,11638769
20210702,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12688064
20210703,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12984850
20210704,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12784879
20210705,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13685033
20210706,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14251922
20210707,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14666091
20210708,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15032661
20210709,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14312884
20210710,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12926796
20210711,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13025772
20210712,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14461549
20210713,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15077598
20210714,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15135122
20210715,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15038800
20210716,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14880620
20210717,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14494882
20210718,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13328610
20210719,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14197661
20210720,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14416374
20210721,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13954673
20210722,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13477877
20210723,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12290893
20210724,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10837207
20210725,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,6800114
20210726,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,10190794
20210727,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12359080
20210728,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13207722
20210729,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13878332
20210730,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14296213
20210731,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13597864
20210801,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12618163
20210802,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13959364
20210803,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13861909
20210804,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13697587
20210805,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13822755
20210806,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13858870
20210807,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13588383
20210808,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13074282
20210809,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14471796
20210810,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14688162
20210811,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14641958
20210812,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14200466
20210813,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13975451
20210814,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13313444
20210815,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12022101
20210816,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12921222
20210817,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12970638
20210818,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13084078
20210819,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13380414
20210820,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13827663
20210821,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13825885
20210822,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,12844856
20210823,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14344768
20210824,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14806252
20210825,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14458299
20210826,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14637374
20210827,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14641804
20210828,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14537857
20210829,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,13802305
20210830,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14474426
20210831,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,14871230
20210901,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15147697
20210902,区级数据,国网浙江省电力有限公司宁海县供电公司,国网浙江省电力有限公司宁波供电公司,15150635
