rq,type,区县,市,sum
20210401,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2457510
20210402,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2514710
20210403,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2816000
20210404,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,3037870
20210405,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2615470
20210406,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2659250
20210407,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2701270
20210408,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2830190
20210409,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2846030
20210410,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2378750
20210411,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2154790
20210412,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2123330
20210413,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,1972740
20210414,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2126300
20210415,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2133560
20210416,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2071740
20210417,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2149840
20210418,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2326060
20210419,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2155120
20210420,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2254780
20210421,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2032580
20210422,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2103640
20210423,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2282720
20210424,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2282060
20210425,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2332880
20210426,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2356860
20210427,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2291300
20210428,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,1961080
20210429,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,1966800
20210430,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2446620
20210501,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2549030
20210502,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2629990
20210503,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2661450
20210504,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2597540
20210505,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2589070
20210506,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2544850
20210507,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2464880
20210508,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2504260
20210509,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2559260
20210510,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2198790
20210511,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2280960
20210512,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2119810
20210513,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2239820
20210514,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2356530
20210515,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2282170
20210516,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2264240
20210517,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2230470
20210518,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2234540
20210519,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2308900
20210520,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2318580
20210521,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2544080
20210522,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2262700
20210523,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2378640
20210524,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2181520
20210525,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2433420
20210526,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2310880
20210527,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2280300
20210528,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2293720
20210529,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2368300
20210530,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2493480
20210531,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2375890
20210601,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2589290
20210602,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2571972
20210603,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2327710
20210604,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2162270
20210605,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2446950
20210606,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2150170
20210607,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2226510
20210608,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2205830
20210609,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2095390
20210610,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2104850
20210611,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2430890
20210612,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2519110
20210613,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2437050
20210614,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2388210
20210615,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2124870
20210616,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2209240
20210617,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2301640
20210618,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2255440
20210619,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2134220
20210620,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,1944140
20210621,区级数据,浙江嘉兴电力客户服务中心,国网浙江省电力有限公司嘉兴供电公司,2142580
