rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9684159
20210402,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9863149
20210403,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9467223
20210404,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,6238346
20210405,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,8890881
20210406,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9804780
20210407,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9900553
20210408,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10234444
20210409,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10029628
20210410,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9988567
20210411,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9803887
20210412,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9886376
20210413,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10091235
20210414,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10293656
20210415,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10055750
20210416,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9905422
20210417,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9835734
20210418,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9406775
20210419,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9706262
20210420,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9841587
20210421,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9755279
20210422,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9902801
20210423,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9988357
20210424,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9870618
20210425,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9628406
20210426,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9785998
20210427,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9947493
20210428,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10024287
20210429,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9784887
20210430,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9132945
20210501,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,4745019
20210502,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,5793860
20210503,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,8264399
20210504,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9452521
20210505,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9553878
20210506,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9666917
20210507,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9703045
20210508,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9841525
20210509,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9431568
20210510,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9880094
20210511,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9955460
20210512,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10179713
20210513,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10155174
20210514,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10520886
20210515,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10517802
20210516,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10302265
20210517,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9891098
20210518,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9741890
20210519,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9746377
20210520,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9799123
20210521,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9656758
20210522,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9566426
20210523,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9082576
20210524,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9487916
20210525,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9623634
20210526,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9733498
20210527,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10013085
20210528,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10028525
20210529,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9825575
20210530,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9423604
20210531,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9491704
20210601,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9144997
20210602,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9933638
20210603,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10578881
20210604,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9717841
20210605,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9582780
20210606,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9181727
20210607,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9705039
20210608,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10142057
20210609,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10660795
20210610,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10871627
20210611,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10967514
20210612,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10846260
20210613,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9818648
20210614,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,6716899
20210615,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10522235
20210616,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11947693
20210617,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12008059
20210618,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11882903
20210619,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10757787
20210620,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9678123
20210621,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9484107
20210622,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9806894
20210623,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10083579
20210624,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10343036
20210625,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10623721
20210626,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11120761
20210627,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10509207
20210628,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10854775
20210629,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10385500
20210630,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9883267
20210701,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,9419064
20210702,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10925241
20210703,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11308873
20210704,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11132238
20210705,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11872733
20210706,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12146771
20210707,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12525039
20210708,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,13090772
20210709,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12921358
20210710,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12212158
20210711,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11952500
20210712,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12387976
20210713,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12749539
20210714,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12766488
20210715,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12719311
20210716,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12899779
20210717,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12622629
20210718,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11932462
20210719,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12580228
20210720,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12806461
20210721,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12385281
20210722,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11593154
20210723,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10398258
20210724,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,8848713
20210725,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,6574930
20210726,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10302682
20210727,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11728342
20210728,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11932791
20210729,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12442151
20210730,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12617580
20210731,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12381111
20210801,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11383107
20210802,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12206593
20210803,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12145585
20210804,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11610943
20210805,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11688298
20210806,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11816038
20210807,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11575369
20210808,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11353178
20210809,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12345161
20210810,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12496105
20210811,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12365441
20210812,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11979582
20210813,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11706220
20210814,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11543067
20210815,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,10852857
20210816,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11506252
20210817,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11063365
20210818,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11191055
20210819,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11394101
20210820,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11892340
20210821,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11983105
20210822,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,11044626
20210823,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12064958
20210824,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12502613
20210825,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12624658
20210826,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12563674
20210827,区级数据,国网浙江省电力有限公司台州市路桥区供电公司,国网浙江省电力有限公司台州供电公司,12479484
