rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2675513
20210402,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2725227
20210403,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2643439
20210404,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2127979
20210405,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2424496
20210406,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2617590
20210407,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2615264
20210408,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2678263
20210409,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2597060
20210410,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2564098
20210411,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2584129
20210412,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2574451
20210413,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2553597
20210414,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2545169
20210415,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2536491
20210416,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2522779
20210417,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2460290
20210418,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2497886
20210419,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2528494
20210420,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2543647
20210421,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2574968
20210422,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2596211
20210423,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2641161
20210424,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2599092
20210425,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2590078
20210426,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2569615
20210427,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2591308
20210428,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2615482
20210429,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2548533
20210430,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2355437
20210501,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,1563168
20210502,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,1833460
20210503,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2217094
20210504,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2382040
20210505,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2439310
20210506,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2529930
20210507,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2474770
20210508,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2519591
20210509,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2458922
20210510,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2528423
20210511,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2404354
20210512,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2481435
20210513,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2500650
20210514,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2591649
20210515,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2648013
20210516,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2614741
20210517,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2493819
20210518,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2412552
20210519,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2422861
20210520,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2348019
20210521,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2371693
20210522,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2375074
20210523,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2336099
20210524,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2371973
20210525,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2380312
20210526,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2465754
20210527,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2479523
20210528,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2479421
20210529,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2424390
20210530,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2377400
20210531,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2359312
20210601,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2312871
20210602,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2385559
20210603,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2530853
20210604,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2352447
20210605,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2366958
20210606,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2388659
20210607,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2424645
20210608,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2507270
20210609,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2601544
20210610,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2610080
20210611,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2670209
20210612,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2652028
20210613,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2548808
20210614,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2052863
20210615,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2649706
20210616,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2900897
20210617,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3016038
20210618,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3008175
20210619,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2851805
20210620,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2642865
20210621,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2468228
20210622,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2418597
20210623,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2451653
20210624,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2455372
20210625,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2609639
20210626,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2802676
20210627,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2739021
20210628,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2739371
20210629,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2757232
20210630,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2431452
20210701,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2229163
20210702,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2583936
20210703,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2778295
20210704,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2889552
20210705,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3027451
20210706,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3005287
20210707,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3101487
20210708,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3203873
20210709,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3094980
20210710,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3030716
20210711,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3058717
20210712,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3177722
20210713,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3263737
20210714,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3284859
20210715,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3308660
20210716,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3235263
20210717,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3199020
20210718,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2993719
20210719,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2964001
20210720,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3058511
20210721,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,3041593
20210722,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2936090
20210723,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2766286
20210724,区级数据,国网浙江省电力有限公司松阳县供电公司,国网浙江省电力有限公司丽水供电公司,2610152
